Geneid,Cold_S1,Cold_S2,Cold_S3,Cold_S4_,Moderate_S5,Moderate_S6,Moderate_S7,Moderate_S8,Warm_S9,Warm_S10,Warm_S11,Warm_S12
LOC129970836,0,0,0,0,0,0,0,0,0,0,0,0
LOC129981591,0,0,0,0,0,0,0,0,0,0,0,0
LOC129954279,0,0,0,0,0,0,0,0,0,0,0,0
LOC129971366,0,0,0,0,0,0,0,0,0,0,0,0
LOC129961926,0,0,0,0,0,0,0,0,0,0,0,0
LOC129978143,0,0,0,0,0,0,0,0,0,0,0,0
LOC129961933,0,0,0,0,0,0,0,0,0,0,0,0
LOC129961942,0,0,0,0,0,0,0,0,0,0,0,0
LOC129961950,0,0,0,0,0,0,0,0,0,0,0,0
LOC129961959,0,0,0,0,0,0,0,0,0,0,0,0
LOC129961966,0,0,0,0,0,0,0,0,0,0,0,0
LOC129961975,0,0,0,0,0,0,0,0,0,0,0,0
LOC129961984,0,0,0,0,0,0,0,0,0,0,0,0
LOC129984885,0,0,0,0,0,0,0,0,0,0,0,0
LOC129972135,0,0,0,0,0,0,0,0,0,0,0,0
LOC129969402,0,0,0,0,0,0,0,0,1,0,0,0
LOC129969051,0,0,0,0,0,0,0,0,1,0,0,0
LOC129969543,0,0,0,0,0,0,0,0,0,0,1,0
LOC129961994,0,0,0,0,0,0,0,0,0,0,0,0
LOC129979294,0,0,0,0,0,0,0,0,1,0,0,0
LOC129970154,0,0,0,0,0,0,0,0,0,0,0,0
LOC129962001,0,0,0,0,0,0,0,0,0,0,0,0
LOC129978242,0,0,0,0,0,0,0,0,0,0,0,0
LOC129972034,0,0,0,0,0,0,0,0,0,0,0,0
LOC129981652,0,0,0,0,0,0,0,0,0,0,0,0
LOC129962008,0,0,0,0,0,0,0,0,0,0,0,0
LOC129980680,0,0,0,0,0,0,0,0,0,0,0,0
LOC129962017,0,0,0,0,0,0,0,0,1,1,0,0
LOC129981297,14,9,31,5,6,5,3,16,18,14,5,11
LOC129961812,64,52,77,52,54,19,11,108,145,120,96,60
LOC129987773,1621,1671,2905,1624,1199,1450,779,2171,3727,4297,3445,3219
LOC129975907,38,47,29,38,20,9,14,6,15,7,13,11
LOC129966501,831,192,488,182,115,67,60,321,1918,773,550,498
LOC129966508,3173,3251,3403,3470,1756,1882,1707,1377,2012,2743,3462,1833
LOC129979368,366,368,258,299,400,84,351,473,540,713,594,506
LOC129962050,4,3,1,7,2,0,1,3,2,6,5,2
LOC129965785,6,5,4,11,8,8,5,7,28,29,15,11
LOC129962094,0,1,2,2,3,0,0,0,1,0,1,1
LOC129962507,1583,1420,1462,1389,1172,1022,1156,1421,1660,1731,1363,1511
LOC129962500,1090,1001,832,755,816,370,986,597,871,797,758,852
LOC129962124,2,0,0,2,0,0,0,1,6,0,3,3
LOC129962133,1,0,0,0,0,0,0,0,3,1,2,0
