Amount Per 1 spiderling,Name FA,TREAT,C16:0,C18:0,C20:0,C22:0,C24:0,C16:1n-9,C16:1n-7,C18:1n-12,C18:1n-9,C20:1n-9,C22:1n-9,C24:1,C18:4n-3,C18:3n-3,C20:3n-3,C20:5n-3,C20:4n-3,C22:5n-3,C22:6n-3,C18:2n-6,C18:3n-6,C20:2n-6,C20:3n-6,C20:4n-6,C22:2n-6,SFA,MUFA,n-3_PUFA,n-6_PUFA,TOTAL
E17_P85,352.d,C,520.4693808,1166.945852,71.76198126,85.13473624,0,53.27736496,41.57487793,2833.773421,240.5095464,160.3622157,0,19.34531681,146.7079453,969.2148026,9.519403208,255.1320507,105.2783833,28.45536273,14.50282213,0,2021.048433,0,0,132.0605191,62.35318955,1844.311951,3348.842743,1528.81077,2215.462142,8937.427605
E17_P89,353.d,C,403.936522,954.5929331,62.30807506,77.27662977,33.90372058,9.052733716,12.22058029,1766.105419,125.8650891,108.2229955,25.28766041,25.19385566,44.55242371,305.5398134,9.831112592,174.4739345,27.80224575,26.46667024,13.61479622,0,2222.007396,13.94927866,0,73.59248329,30.82872277,1532.01788,2071.948334,602.2809964,2340.377881,6546.625092
E17_P32,358.d,C,703.5936817,1853.322092,105.1596609,93.49620804,39.3715085,82.16204954,60.78581374,228.3237137,3011.074419,158.6243897,0,55.48752836,31.32717338,1710.09635,22.43761407,333.0958003,122.8872795,36.2395006,9.786016035,2869.54092,80.74132882,45.92008149,0,202.3275414,100.083841,2794.943151,3596.457914,2265.869733,3298.613713,11955.88451
E17_P71,359.d,C,704.6622987,1316.451503,74.10797905,76.91570083,0,58.6649023,143.6557234,3054.378794,450.1724981,132.6830337,34.6382868,58.35895966,89.89884158,800.0864388,3.236746653,395.1312828,569.2351218,46.72531593,66.24380264,2088.764908,47.61383155,120.9999021,130.167457,243.1707285,127.0661339,2172.137481,3932.552198,1970.55755,2757.782961,10833.03019
E17_P70,406,C,1110.513046,2224.31597,89.63653856,1276.318125,0,133.8735402,86.74048269,4808.520533,211.8841685,310.171027,676.9847703,0,295.3948786,1307.417807,33.46748253,623.2326155,0,0,0,4638.062499,138.0566272,0,27.4884182,239.924022,289.7819006,4700.783679,6228.174521,2259.512784,5333.313467,18521.78445
E17_P51,407,C,1409.060792,2275.316442,70.54277605,67.92677195,0,170.6775808,472.6740405,5006.103859,761.4112491,160.0836846,0,0,17.37626113,108.4716979,9.994784874,315.2575121,36.73991666,56.36103933,21.07830807,5318.107316,101.7023216,0,136.5021264,502.5309946,47.78803321,3822.846782,6570.950414,565.2795201,6106.630792,17065.70751
E17_P90,412,C,741.3529408,1939.634981,105.4137087,118.5771914,0,80.42058031,39.66325001,3062.710128,144.0161786,183.668711,0,30.0529931,258.7331816,1592.357709,21.25497873,327.6943242,106.5553027,29.71216697,0,3147.845165,87.15511965,0,10.87340288,97.12401919,107.7320448,2904.978822,3540.531841,2336.307663,3450.729751,12232.54808
E17_P42,413,C,1260.984916,2094.095484,65.93540654,150.8828295,0,194.0652323,194.9135021,9525.792094,579.8084636,302.1409267,0,36.1138237,83.460029,544.1221962,5.190261367,521.0381262,59.95068266,0,0,2596.74815,66.69811936,0,40.45536792,316.7985496,96.57208866,3571.898636,10832.83404,1213.761295,3117.272276,18735.76625
E17_P76,354.d,M,307.5008299,1012.750612,60.47703296,72.56418916,42.10166888,44.70254708,16.17362606,1894.600313,68.46768961,118.9402482,29.16633057,22.65867768,102.2629768,445.7264833,7.423192634,161.8543019,27.35512781,29.75997328,39.49902688,0,1704.190021,22.90074674,0,77.08965932,58.25582425,1495.394333,2194.709432,813.8810826,1862.436251,6366.421099
E17_P54,355.d,M,396.9547132,1030.96212,60.46434402,81.46271456,34.60490478,65.70279848,158.7570472,2252.072343,210.4336444,90.65337959,46.34083534,28.68459952,36.09443049,62.45733276,1.381132589,188.1664608,5.60499121,24.11334543,0,0,2006.229682,58.90678686,0,302.0272162,87.13053784,1604.448796,2852.644647,317.8176933,2454.294223,7229.20536
E17_P24,360.d,M,948.6817818,1933.960193,111.0123274,84.84395864,0,113.3672117,193.2762182,3638.513573,387.4075612,146.285949,0,0,158.7821886,948.7749907,9.240628351,315.4252887,288.7779765,0,0,3383.13472,110.7547035,39.05363577,0,278.7394973,101.1239242,3078.498261,4478.850513,1721.001073,3912.806481,13191.15633
E17_P22,361.d,M,486.266251,1111.668301,57.61856813,74.22531672,0,8.331482937,31.55584091,1904.461209,173.1237877,106.1347567,0,21.86821949,36.90212193,365.1699059,7.679260887,562.1185968,349.2474343,0,0,2373.446299,44.30432929,17.15735754,0,298.3689557,100.7472215,1729.778437,2245.475296,1321.11732,2834.024163,8130.395216
E17_P77,408,M,1107.280968,1618.998925,54.34091401,0,0,85.04223999,61.4217669,3420.625417,205.7192339,151.5078134,0,0,29.15448401,175.1257705,0,450.2952244,244.7183576,0,0,3895.713376,80.082053,0,55.87427445,160.1734961,74.94805585,2780.620807,3924.316471,899.2938366,4266.791256,11871.02237
E17_P80,409,M,1116.714297,1956.370456,105.6351629,195.9485406,41.12935952,135.0667287,143.3026803,8407.677751,411.9458298,382.6755542,0,78.5310389,97.56530852,1004.348285,12.79745002,460.3206993,83.46941628,28.77168801,0,3109.124526,62.23226081,0,37.41574399,167.2269723,102.1304677,3415.797817,9559.199583,1687.272847,3478.129971,18140.40022
E17_P7,414,M,918.5822673,1795.97503,78.81923354,129.9876768,0,178.0628192,182.0732712,3678.801027,666.2936925,146.1803746,19.92363508,36.03727225,28.24491167,191.1752652,4.675394214,422.8983749,31.10604428,31.64940742,0,2648.002944,54.05420575,0,28.12051157,300.5863644,43.22402841,2923.364208,4907.372092,709.7493976,3073.988054,11614.47375
E17_P62,415,M,783.6458048,1639.425209,76.65871242,112.5974001,0,110.1105349,35.05482096,3437.780828,91.64856402,178.4198028,0,33.94300599,128.6001611,823.6264215,22.51319297,376.6600759,39.9406133,37.78642883,0,3397.299123,96.87675135,0,37.3569963,104.1763254,101.7229674,2612.327126,3886.957556,1429.126894,3737.432164,11665.84374
E17_P5,356.d,W,589.0517992,865.4040465,49.20150475,63.8907627,34.3738024,132.5904941,118.281724,2020.944386,310.6610404,98.04282719,33.17544518,24.70288389,48.06600282,150.7872756,5.384654623,265.5497287,32.93964989,20.37750494,9.650198287,1678.054117,0,57.01087652,0,252.3805901,51.62391445,1601.921916,2738.398801,532.7550148,2039.069498,6912.14523
E17_P69,357.d,W,378.1421051,693.1124491,36.80599556,60.27636684,39.00650027,25.27375516,17.9022812,1380.359306,87.51407834,88.55101775,31.63681688,16.44229495,56.2310105,131.0091174,4.352151231,182.8783812,78.26897422,25.53810324,10.70321391,1861.755704,52.94325327,56.80210693,0,102.7994726,61.80802402,1207.343417,1647.67955,488.9809517,2136.108561,5480.11248
E17_P3,362.d,W,489.2728384,1053.130262,61.22879358,70.56940979,0,38.57939863,152.2423822,2386.322974,223.2370126,87.75847536,0,28.64016686,23.08457159,39.18764482,6.589295042,171.1381345,8.465646335,29.04640806,65.5459981,2536.495322,94.4931238,8.37738755,11.08232124,394.3033586,87.88066995,1674.201304,2916.78041,343.0576984,3132.632183,8066.671595
E17_18,363.d,W,812.727605,1656.496326,73.35158483,94.01713518,0,115.3580342,220.7472719,3399.033149,629.5364197,153.3694826,16.1296048,38.18206678,38.63030045,259.3366573,5.974193496,356.1797703,83.60176841,30.29054842,0,3056.736817,68.27792117,25.89898162,23.33147931,478.1785558,90.48946441,2636.592651,4572.356029,774.0132384,3742.913219,11725.87514
E17_P36,410,W,1170.701223,2094.504325,89.99178159,368.4985415,0,179.0837764,146.5513876,4050.465765,666.7440354,203.2637874,42.61153849,54.57446059,65.68389422,397.2970767,19.20344681,675.2873962,107.8468757,40.55717219,36.35754662,3815.377626,118.0261534,0,25.22804233,332.0604083,82.74830202,3723.695871,5343.294751,1342.233408,4373.440532,14782.66456
E17_P35,411,W,677.558225,1375.648091,59.12288504,189.9920254,0,78.88119819,281.2421863,3417.195208,335.9181858,129.9314427,26.73108326,44.30509706,24.56248729,58.28968668,11.38721744,332.0582749,54.72051656,38.46536045,24.2699418,3910.383943,127.1159043,0,24.53478117,467.769043,135.6266895,2302.321226,4314.204401,543.7534851,4665.430361,11825.70947
E17_P91,416,W,788.3589975,1825.115364,88.90203104,132.7278605,40.792132,123.9428593,318.8418958,4816.512194,1060.761312,198.8247557,36.27694758,36.89451995,29.82922297,79.25589367,22.32321141,402.3172514,29.6683932,34.03747751,0,2915.499748,75.954574,12.77503488,43.82224532,525.4474127,112.5491637,2875.896385,6592.054485,597.4314502,3686.048179,13751.4305
E17_P30,417,W,769.8434943,1987.534423,113.1509151,150.0213744,0,120.8382511,67.08139619,4160.374384,37.79862213,217.3819531,17.36025803,33.00344398,65.84394966,247.5244465,52.6158159,426.6434243,28.94313615,37.20815551,32.41890253,5230.243077,321.450241,0,66.80292832,189.3417503,60.26496279,3020.550207,4653.838308,891.1978306,5868.10296,14433.68931
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
