Amount Per 1 spiderling,Name FA,TREAT,C16:0,C18:0,C20:0,C22:0,C24:0,C16:1n-9,C16:1n-7,C18:1n-12,C18:1n-9,C20:1n-9,C22:1n-9,C24:1,C18:4n-3,C18:3n-3,C20:3n-3,C20:5n-3,C20:4n-3,C22:5n-3,C22:6n-3,C18:2n-6,C18:3n-6,C20:2n-6,C20:3n-6,C20:4n-6,C22:2n-6,SFA,MUFA,n-3_PUFA,n-6_PUFA,TOTAL,dryweight1mg
E17_P85,352.d,C,4.293121095,9.625618799,0.083961723,0.404773331,0,0,0.44809445,1.983855519,24.01632405,0.071194411,0.566743507,0,0.785740016,7.994623063,0.400362258,2.104471136,0,0,0,15.95833327,0.068651255,0.074253655,0.023327689,1.089308653,0,14.40747495,27.08621194,11.28519647,17.21387452,69.99275788,121.2333333
E17_P89,353.d,C,4.248981648,10.04130014,0.086414437,0.550298096,0.382303087,0,0.188465959,1.323966317,19.02234999,0.099958442,0.61910307,0.265012507,0.468644008,3.213953157,0.294519022,1.835279816,0,0,0,22.37847138,0.032250418,0.097855247,0,0.774114481,0,14.92699432,21.51885629,5.812396003,23.28269152,65.54093813,95.06666667
E17_P32,358.d,C,5.989730548,15.77742984,0.280798501,0.52016851,0.335171752,0,0.348551778,1.868189949,25.63343717,0.929501861,0.737238273,0.472368289,2.658630002,14.55814146,0.94785105,2.835662318,0.149378718,0.308508802,0.083308877,24.42855494,0.036509767,0.182742959,0.000625482,1.722425154,0,22.5681274,29.98928732,21.54148122,26.3708583,100.4697542,117.4666667
E17_P71,359.d,C,8.022720668,14.98806265,1.209242135,1.115350259,0,0.279670444,2.241707909,5.125299941,35.7441015,0.352495605,0.664936039,0.664428383,0.976011741,9.109143515,0,4.498648381,0,0,0.754198892,23.78100464,0.278416127,0.033474438,0,2.148388929,0,25.33537571,45.07263982,15.33800253,26.24128413,111.9873022,87.83333333
E17_P70,406,C,10.9445134,19.48913979,0.720651418,0.729684257,0,2.86785994,1.238197593,1.822629761,39.83819798,0,0,0,2.263425492,11.23775801,0.224182455,4.668582617,1.203518912,0,0,39.35255883,1.446248773,0,0,1.561057468,1.152668173,31.88398886,45.76688527,19.59746749,43.51253324,140.7608749,113.4666667
E17_P51,407,C,12.75937934,20.60352951,0.638781552,0.615093015,0,4.280175435,1.545525936,6.894753808,46.69042644,0,0,0,0.157346162,0.982236927,0.090505145,2.854731471,0.332688651,0,0.190869074,48.15672185,0.92093862,0,1.236059098,4.824375632,0.432731964,34.61678341,59.41088162,4.608377429,55.57082717,154.2068696,110.4333333
E17_P90,412,C,7.546857219,19.49728503,1.073095101,1.2070973,0,0.403765694,0.818668955,1.466061801,32.04749324,0.341668752,0,0.305934779,2.669327702,16.20995293,0.216372366,3.335877071,1.084716349,0.302465222,0,32.04457243,0.887225514,0,0.110689544,0.988707355,1.0966954,29.32433465,35.38359322,23.81871164,35.12789024,123.6545297,98.23333333
E17_P42,413,C,11.38758202,18.91115729,0.595443166,1.362578232,0,1.76020622,1.752545746,5.236074884,88.73778279,0,0,0.326133266,0.753702851,4.913806709,0.046871716,4.705341296,0.541396893,0,0,23.45046493,0.602331,0,0.365340469,3.255934436,0.872113985,32.25676071,97.8127429,10.96111947,28.54618482,169.5768079,110.7333333
E17_P76,354.d,M,3.215414743,10.5899332,0.227522404,0.549031701,0.440240525,0,0.036577049,21.19573287,0,0.669924607,0.553654442,0.236932844,1.069323564,4.660785813,0.335273861,1.692446517,0.050867347,0,0,17.05204196,0.018783596,0.072981675,0,0.806096124,0,14.58190205,22.69282181,7.808697103,17.94990336,63.03332432,95.63333333
E17_P54,355.d,M,4.335144301,11.25914219,0.194615679,0.656190337,0.377920329,0,1.605254767,2.298145717,25.23326182,0.86680891,0.70008434,0.313264647,0.394187446,0.682096827,0.093298848,2.119411125,0.075869362,0.26334196,0,20.97343388,0.147657469,0,0.026980487,3.298440658,0.314174168,16.4450925,31.0168202,3.628205567,24.76068666,75.85080493,91.56666667
