ID,Treatment,dryweight,fat-freeweight,difference,Fatpercentage,Opening,Eggsac
E17-P-1,Warm,2.876,2.701,0.175,6.084840056,Feb,1
E17-P-1,Moderate,2.747,2.512,0.235,8.55478704,Feb,2
E17-P-10,Cold,2.928,2.651,0.277,9.460382514,Dec,1
E17-P-11,Cold,2.778,2.444,0.334,12.02303816,Dec,2
E17-P-11,Cold,3.305,3.051,0.254,7.685325265,Dec,1
E17-P-12,Moderate,4.142,3.743,0.399,9.633027523,Feb,2
E17-P-13,Warm,3.112,2.821,0.291,9.350899743,Feb,2
E17-P-13,Cold,2.942,2.691,0.251,8.531611149,Feb,1
E17-P-14,Warm,3.118,2.872,0.246,7.889672867,Feb,1
E17-P-14,Cold,3.213,2.972,0.241,7.500778089,Feb,2
E17-P-15,Moderate,3.435,3.065,0.37,10.77147016,Dec,1
E17-P-16,Cold,3.336,2.911,0.425,12.73980815,Dec,2
E17-P-18,Warm,3.294,2.981,0.313,9.502125076,Feb,1
E17-P-18,Cold,3.167,2.904,0.263,8.304389012,Feb,2
E17-P-19,Cold,2.634,2.392,0.242,9.187547456,Dec,2
E17-P-2,Moderate,3.367,3.011,0.356,10.57321057,Dec,1
E17-P-2,Moderate,3.395,3.08,0.315,9.278350515,Dec,2
E17-P-20,Warm,3.49,3.113,0.377,10.80229226,Feb,1
E17-P-21,Cold,3.583,3.172,0.411,11.4708345,Feb,1
E17-P-22,Warm,2.397,2.176,0.221,9.219858156,Feb,2
E17-P-22,Moderate,2.712,2.535,0.177,6.526548673,Feb,1
E17-P-23,Moderate,2.346,2.09,0.256,10.91219096,Dec,1
E17-P-23,Warm,2.967,2.711,0.256,8.628244018,Feb,2
E17-P-24,Cold,3.169,2.891,0.278,8.772483433,Feb,2
E17-P-25,Moderate,3.191,2.886,0.305,9.558132247,Dec,2
E17-P-25,Cold,3.28,2.9,0.38,11.58536585,Dec,1
E17-P-26,Warm,2.853,2.613,0.24,8.412197687,Feb,2
E17-P-26,Moderate,2.87,2.556,0.314,10.94076655,Dec,1
E17-P-27,Warm,3.171,3.021,0.15,4.730368969,Feb,2
E17-P-27,Cold,3.342,3.081,0.261,7.809694794,Feb,1
E17-P-28,Moderate,2.68,2.353,0.327,12.20149254,Dec,1
E17-P-3,Warm,3.207,2.974,0.233,7.265357031,Feb,1
E17-P-32,Warm,3.06,2.777,0.283,9.248366013,Dec,2
E17-P-32,Cold,3.524,3.218,0.306,8.683314415,Dec,1
E17-P-33,Warm,3.873,3.563,0.31,8.004131164,Feb,1
E17-P-33,Moderate,2.899,2.617,0.282,9.727492239,Feb,2
E17-P-34,Warm,2.924,2.623,0.301,10.29411765,Dec,2
E17-P-34,Cold,3.871,3.54,0.331,8.550762077,Feb,1
E17-P-35,Warm,2.912,2.663,0.249,8.550824176,Feb,1
E17-P-36,Warm,3.351,3.075,0.276,8.236347359,Feb,1
E17-P-36,Cold,3.488,3.224,0.264,7.568807339,Feb,2
E17-P-37,Cold,2.988,2.806,0.182,6.09103079,Feb,2
E17-P-38,Moderate,3.182,2.885,0.297,9.333752357,Feb,1
E17-P-39,Warm,3.022,2.733,0.289,9.563203177,Feb,2
E17-P-39,Cold,3.038,2.764,0.274,9.019091508,Feb,1
E17-P-4,Warm,2.761,2.541,0.22,7.96812749,Feb,1
E17-P-4,Moderate,3.054,2.762,0.292,9.561231172,Feb,2
E17-P-40,Warm,2.866,2.529,0.337,11.7585485,Dec,1
E17-P-41,Moderate,3.213,2.888,0.325,10.11515717,Dec,1
E17-P-41,Cold,2.862,2.65,0.212,7.407407407,Dec,2
E17-P-42,Cold,3.322,2.978,0.344,10.35520771,Feb,1
E17-P-43,Moderate,3.741,3.387,0.354,9.462710505,Feb,2
E17-P-44,Cold,2.391,2.198,0.193,8.071936428,Dec,2
E17-P-44,Cold,2.915,2.698,0.217,7.444253859,Dec,1
E17-P-46,Warm,2.889,2.688,0.201,6.957424714,Feb,1
E17-P-46,Cold,2.726,2.481,0.245,8.987527513,Dec,2
E17-P-47,Moderate,2.998,2.768,0.23,7.671781187,Feb,2
E17-P-47,Cold,3.148,2.808,0.34,10.80050826,Dec,1
E17-P-48,Moderate,2.522,2.277,0.245,9.714512292,Dec,1
E17-P-48,Cold,3.094,2.851,0.243,7.853910795,Feb,2
E17-P-49,Warm,3.256,2.952,0.304,9.336609337,Feb,1
E17-P-5,Warm,3.277,3.069,0.208,6.347268843,Feb,1
E17-P-51,Cold,3.335,3.204,0.131,3.928035982,Feb,2
E17-P-51,Cold,3.313,3.071,0.242,7.304557803,Feb,1
E17-P-55,Moderate,3.316,2.876,0.44,13.26899879,Dec,2
E17-P-58,Warm,3.29,2.853,0.437,13.28267477,Dec,1
E17-P-58,Cold,2.461,2.106,0.355,14.42503048,Dec,2
E17-P-59,Warm,3.006,2.862,0.144,4.790419162,Dec,1
E17-P-59,Moderate,3.125,2.828,0.297,9.504,Feb,2
E17-P-6,Moderate,3.511,3.155,0.356,10.13956138,Dec,1
E17-P-6,Moderate,3.313,2.913,0.4,12.07364926,Dec,2
E17-P-60,Moderate,3.971,3.591,0.38,9.56937799,Dec,1
E17-P-60,Moderate,3.042,2.682,0.36,11.83431953,Dec,2
E17-P-61,Warm,3.13,2.631,0.499,15.94249201,Dec,1
E17-P-61,Warm,3.073,2.794,0.279,9.079075822,Dec,2
E17-P-62,Warm,2.725,2.521,0.204,7.486238532,Feb,2
E17-P-62,Moderate,2.637,2.383,0.254,9.632157755,Feb,1
E17-P-63,Cold,2.574,2.345,0.229,8.896658897,Dec,1
E17-P-64,Cold,2.667,2.5,0.167,6.261717285,Feb,2
E17-P-65,Moderate,3.832,3.377,0.455,11.8736952,Dec,1
E17-P-65,Cold,2.771,2.564,0.207,7.470227355,Feb,2
E17-P-66,Cold,2.767,2.513,0.254,9.179616914,Dec,1
E17-P-68,Warm,3.111,2.656,0.455,14.62552234,Dec,1
E17-P-68,Warm,3.401,2.916,0.485,14.26051161,Dec,2
E17-P-69,Warm,2.637,2.425,0.212,8.039438756,Feb,1
E17-P-69,Cold,3.183,2.899,0.284,8.922400251,Feb,2
E17-P-7,Moderate,2.792,2.564,0.228,8.166189112,Feb,1
E17-P-7,Cold,2.932,2.741,0.191,6.514324693,Feb,2
