"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneRatioCount","BgRatioCount"
"abru03030","Genetic Information Processing","Replication and repair","abru03030","DNA replication - Argiope bruennichi (wasp spider)","16/780","37/3741",0.00166741324464719,0.20175700260231,0.196579245684722,"129963508/129963475/129966970/129965820/129967103/129969145/129969314/129972941/129975262/129984264/129984778/129984113/129988231/129959085/129963514/129971656",16,16,37
"abru04814","Cellular Processes","Cell motility","abru04814","Motor proteins - Argiope bruennichi (wasp spider)","33/780","105/3741",0.00650951900762314,0.315242866754938,0.307152684441523,"129978379/129965493/129971397/129976437/129976424/129975885/129965737/129968895/129955676/129963135/129968809/129968666/129971589/129971809/129975715/129976559/129981640/129981028/129985032/129988197/129988190/129963884/129962140/129966791/129966587/129965635/129971277/129972808/129983797/129988180/129961060/129960115/129960435",33,33,105
"abru00130","Metabolism","Metabolism of cofactors and vitamins","abru00130","Ubiquinone and other terpenoid-quinone biosynthesis - Argiope bruennichi (wasp spider)","6/780","10/3741",0.00781593884516376,0.315242866754938,0.307152684441523,"129968694/129983859/129957684/129971349/129975707/129989143",6,6,10
"abru04137","Cellular Processes","Transport and catabolism","abru04137","Mitophagy - animal - Argiope bruennichi (wasp spider)","22/780","67/3741",0.0141936907141063,0.354252160314869,0.345160869554287,"129981514/129981296/129975821/129958247/129964013/129967163/129969121/129969250/129972964/129971588/129975260/129974980/129980882/129980986/129989322/129958443/129960538/129960069/129961102/129976633/129969429/129976418",22,22,67
"abru04130","Genetic Information Processing","Folding, sorting and degradation","abru04130","SNARE interactions in vesicular transport - Argiope bruennichi (wasp spider)","11/780","27/3741",0.0146385190212756,0.354252160314869,0.345160869554287,"129961819/129961914/129964022/129965621/129972888/129975265/129981875/129988428/129956989/129960751/129968258",11,11,27
"abru03430","Genetic Information Processing","Replication and repair","abru03430","Mismatch repair - Argiope bruennichi (wasp spider)","9/780","22/3741",0.0256899592989518,0.487240019826693,0.474735817490993,"129966970/129967103/129972941/129976574/129984264/129960777/129960899/129971656/129989316",9,9,22
"abru00500","Metabolism","Carbohydrate metabolism","abru00500","Starch and sucrose metabolism - Argiope bruennichi (wasp spider)","12/780","33/3741",0.0287180088590008,0.487240019826693,0.474735817490993,"129966482/129984401/129963351/129965913/129976146/129984475/129983765/129957645/129956957/129958442/129958985/129960460",12,12,33
"abru00770","Metabolism","Metabolism of cofactors and vitamins","abru00770","Pantothenate and CoA biosynthesis - Argiope bruennichi (wasp spider)","9/780","23/3741",0.0346241351451045,0.487240019826693,0.474735817490993,"129966482/129963782/129963351/129965519/129969332/129958386/129958785/129968795/129976555",9,9,23
"abru04512","Environmental Information Processing","Signaling molecules and interaction","abru04512","ECM-receptor interaction - Argiope bruennichi (wasp spider)","12/780","34/3741",0.0362409932102499,0.487240019826693,0.474735817490993,"129961045/129957479/129963058/129988230/129958340/129961970/129962701/129965450/129965619/129967080/129975226/129987545",12,12,34
"abru00052","Metabolism","Carbohydrate metabolism","abru00052","Galactose metabolism - Argiope bruennichi (wasp spider)","12/780","36/3741",0.05525139560082,0.626350735315257,0.610276488519433,"129967160/129984401/129965913/129976146/129980518/129984475/129983765/129957645/129956957/129958442/129958985/129960460",12,12,36
