ID,Eggsac,age,Treatment,Observer,livingspiderlings,deadspiderlings,eggs,clutchsize,survivalrate,deadspiderlingspercentage,eggsperscentage,Opening
E17-P-1,2,72,Moderate,Angelique,178,31,0,209,8.516.746.411,1.483.253.589,0,post-winter
E17-P-1,1,91,Warm,Angelique,161,38,0,199,8.090.452.261,1.909.547.739,0,post-winter
E17-P-10,2,68,Cold,marina,106,0,0,106,100,0,0,mid-winter
E17-P-10,1,83,Cold,marina,87,0,0,87,100,0,0,mid-winter
E17-P-11,2,67,Cold,marina,162,5,0,167,97.01,2.99,0,mid-winter
E17-P-11,1,80,Cold,marina,207,4,0,211,98.1,1.9,0,mid-winter
E17-P-12,2,67,Moderate,Brian ,116,14,0,130,8.923.076.923,1.076.923.077,0,post-winter
E17-P-13,1,91,Cold,Birte,64,94,5,163,3.926.380.368,5.766.871.166,3.067.484.663,post-winter
E17-P-13,2,77,Warm,marina,163,23,0,186,876.344.086,123.655.914,0,post-winter
E17-P-14,1,91,Warm,marina,88,16,0,104,8.461.538.462,1.538.461.538,0,post-winter
E17-P-14,2,72,Cold,marina,120,15,0,135,8.888.888.889,1.111.111.111,0,post-winter
E17-P-15,1,91,Moderate,marina,178,2,0,180,98.89,1.11,0,mid-winter
E17-P-15,2,72,Moderate,marina,109,4,0,113,96.46,3.54,0,mid-winter
E17-P-16,2,73,Cold,Birte,141,8,3,152,92.76,5.26,1.97,mid-winter
E17-P-16,1,88,Cold,marina,105,4,0,109,96.33,3.67,0,mid-winter
E17-P-18,2,67,Cold,Birte ,55,38,24,117,4.700.854.701,3.247.863.248,2.051.282.051,post-winter
E17-P-18,1,80,Warm,Brian,197,11,0,208,9.471.153.846,5.288.461.538,0,post-winter
E17-P-19,2,72,Cold,marina,153,8,3,164,93.29,4.88,1.83,mid-winter
E17-P-2,1,77,Moderate,marina,188,4,0,192,97.92,2.08,0,mid-winter
E17-P-2,2,63,Moderate,marina,126,3,0,129,97.67,2.33,0,mid-winter
E17-P-20,1,82,Warm,Angelique,188,6,0,194,9.690.721.649,3.092.783.505,0,post-winter
E17-P-21,1,80,Cold,Brian,72,3,0,75,96,4,0,post-winter
E17-P-22,2,64,Warm,Birte,97,18,2,117,8.290.598.291,1.538.461.538,1.709.401.709,post-winter
E17-P-22,1,85,Moderate,Angelique,130,14,0,144,9.027.777.778,9.722.222.222,0,post-winter
E17-P-23,2,74,Warm,Angelique,143,21,0,164,8.719.512.195,1.280.487.805,0,post-winter
E17-P-23,1,91,Moderate,marina,95,0,0,95,100,0,0,mid-winter
E17-P-24,1,88,Moderate,Birte,155,26,0,181,8.563.535.912,1.436.464.088,0,post-winter
E17-P-24,2,72,Cold,marina,143,16,0,159,8.993.710.692,1.006.289.308,0,post-winter
E17-P-25,1,80,Cold,Birte,179,66,3,248,72.18,26.61,1.21,mid-winter
E17-P-25,2,65,Moderate,marina,178,3,0,181,98.34,1.66,0,mid-winter
E17-P-26,2,75,Warm,Birte,171,26,7,204,8.382.352.941,1.274.509.804,3.431.372.549,post-winter
E17-P-26,1,88,Moderate,marina,130,2,0,132,98.48,1.52,0,mid-winter
E17-P-27,1,80,Cold,Birte,173,26,0,199,8.693.467.337,1.306.532.663,0,post-winter
E17-P-27,2,67,Warm,Brian ,154,8,0,162,950.617.284,4.938.271.605,0,post-winter
E17-P-27,1,89,Cold,Brian,135,7,1,143,9.440.559.441,4.895.104.895,0.699300699,post-winter
E17-P-28,1,75,Moderate,marina,135,3,0,138,97.83,2.17,0,mid-winter
E17-P-28,2,59,Moderate,marina,63,5,0,68,92.65,7.35,0,mid-winter
E17-P-29,2,59,Moderate,marina,57,18,29,104,5.480.769.231,1.730.769.231,2.788.461.538,post-winter
E17-P-3,1,72,Warm,Birte,117,23,0,140,8.357.142.857,1.642.857.143,0,post-winter
E17-P-30,1,86,Warm,Brian,22,3,0,25,88,12,0,post-winter
E17-P-31,1,91,Warm,marina,0,114,0,114,0,100,0,mid-winter
E17-P-31,2,73,Moderate,marina,88,5,0,93,94.62,5.38,0,mid-winter
E17-P-32,2,75,Warm,marina,174,3,0,177,98.31,1.69,0,mid-winter
E17-P-33,2,72,Moderate,Brian,120,15,0,135,8.888.888.889,1.111.111.111,0,post-winter
E17-P-33,1,87,Warm,Angelique,139,7,0,146,9.520.547.945,4.794.520.548,0,post-winter
E17-P-34,1,89,Cold,Angelique,128,11,0,139,9.208.633.094,7.913.669.065,0,post-winter
E17-P-34,2,75,Warm,marina,149,14,0,163,91.41,8.59,0,mid-winter
E17-P-35,1,72,Warm,Angelique,127,38,0,165,7.696.969.697,2.303.030.303,0,post-winter
E17-P-36,2,70,Cold,Birte ,131,58,0,189,6.931.216.931,3.068.783.069,0,post-winter
E17-P-36,1,85,Warm,Biran ,152,10,0,162,9.382.716.049,6.172.839.506,0,post-winter
E17-P-37,2,59,Cold,Birte ,52,15,0,67,776.119.403,223.880.597,0,post-winter
E17-P-37,1,80,Moderate,Birte,44,8,0,52,8.461.538.462,1.538.461.538,0,post-winter
E17-P-38,1,90,Moderate,marina,82,40,0,122,6.721.311.475,3.278.688.525,0,post-winter
E17-P-38,2,76,Warm,marina,224,2,0,226,99.12,0.88,0,mid-winter
E17-P-39,1,91,Cold,Birte,143,46,0,189,7.566.137.566,2.433.862.434,0,post-winter
E17-P-39,2,74,Warm,Birte,123,14,0,137,897.810.219,102.189.781,0,post-winter
E17-P-4,1,89,Warm,Brian,99,8,0,107,9.252.336.449,7.476.635.514,0,post-winter
E17-P-4,2,75,Moderate,marina,105,42,0,147,7.142.857.143,2.857.142.857,0,post-winter
E17-P-40,1,80,Warm,marina,184,2,0,186,98.92,1.08,0,mid-winter
E17-P-40,2,65,Moderate,marina,117,27,0,144,81.25,18.75,0,mid-winter
E17-P-41,2,68,Cold,marina,134,7,0,141,95.04,4.96,0,mid-winter
